8-hour-bayer-650mg-tablet-extended-release|8-Hour Bayer 650mg Tablet, Extended Release|Aspirin|8-Hour Bayer|Tablet, Extended Release|650mg
demerol-100mg-ml-injectable|Demerol 100mg/mL Injectable|Meperidine Hydrochloride|Demerol|Injectable|100mg/mL
demerol-25mg-ml-injectable|Demerol 25mg/mL Injectable|Meperidine Hydrochloride|Demerol|Injectable|25mg/mL
demerol-50mg-federal-register-determination-that-product-was-not-discontinued-or|Demerol 50mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Meperidine Hydrochloride|Demerol|Tablet|50mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
demerol-50mg-5ml-federal-register-determination-that-product-was-not-discontinue|Demerol 50mg/5mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Syrup|Meperidine Hydrochloride|Demerol|Syrup|50mg/5mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
demerol-50mg-ml-injectable|Demerol 50mg/mL Injectable|Meperidine Hydrochloride|Demerol|Injectable|50mg/mL
demerol-75mg-ml-injectable|Demerol 75mg/mL Injectable|Meperidine Hydrochloride|Demerol|Injectable|75mg/mL
demi-regroton-25mg-0-125mg-tablet|Demi-Regroton 25mg / 0.125mg Tablet|Chlorthalidone / Reserpine|Demi-Regroton|Tablet|25mg / 0.125mg
demser-250mg-capsule|Demser 250mg Capsule|Metyrosine|Demser|Capsule|250mg
demulen-1-35-21-0-035mg-1mg-federal-register-determination-that-product-was-not-|Demulen 1/35-21 0.035mg / 1mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Ethinyl Estradiol / Ethynodiol Diacetate|Demulen 1/35-21|Tablet|0.035mg / 1mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
demulen-1-35-28-0-035mg-1mg-federal-register-determination-that-product-was-not-|Demulen 1/35-28 0.035mg / 1mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Ethinyl Estradiol / Ethynodiol Diacetate|Demulen 1/35-28|Tablet|0.035mg / 1mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
demulen-1-50-21-0-05mg-1mg-tablet|Demulen 1/50-21 0.05mg / 1mg Tablet|Ethinyl Estradiol / Ethynodiol Diacetate|Demulen 1/50-21|Tablet|0.05mg / 1mg
demulen-1-50-28-0-05mg-1mg-federal-register-determination-that-product-was-not-d|Demulen 1/50-28 0.05mg / 1mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Ethinyl Estradiol / Ethynodiol Diacetate|Demulen 1/50-28|Tablet|0.05mg / 1mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
denavir-1-cream|Denavir 1% Cream|Penciclovir|Denavir|Cream|1%
dendrid-0-1-solution-drops|Dendrid 0.1% Solution/Drops|Idoxuridine|Dendrid|Solution/Drops|0.1%
denosumab-dssb-60mg-ml-injectable|Denosumab-Dssb 60mg/mL Injectable|Denosumab-Dssb||Injectable|60mg/mL
denosumab-dssb-70mg-ml-injectable|Denosumab-Dssb 70mg/mL Injectable|Denosumab-Dssb||Injectable|70mg/mL
dentipatch-23mg-patch-film-extended-release|Dentipatch 23mg/PATCH Film, Extended Release|Lidocaine|Dentipatch|Film, Extended Release|23mg/PATCH
dentipatch-46-1mg-patch-patch|Dentipatch 46.1mg/PATCH Patch|Lidocaine|Dentipatch|Patch|46.1mg/PATCH
deoxycholic-acid-20mg-2ml-10mg-ml-solution|Deoxycholic Acid 20mg/2mL (10mg/mL) Solution|Deoxycholic Acid||Solution|20mg/2mL (10mg/mL)
depacon-eq-100mg-base-ml-federal-register-determination-that-product-was-not-dis|Depacon EQ 100mg BASE/mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Injectable|Valproate Sodium|Depacon|Injectable|EQ 100mg BASE/mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
depakene-250mg-federal-register-determination-that-product-was-not-discontinued-|Depakene 250mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Capsule|Valproic Acid|Depakene|Capsule|250mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
depakene-250mg-5ml-federal-register-determination-that-product-was-not-discontin|Depakene 250mg/5mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Syrup|Valproic Acid|Depakene|Syrup|250mg/5mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
depakote-cp-eq-250mg-base-tablet-delayed-release|Depakote Cp EQ 250mg BASE Tablet, Delayed Release|Divalproex Sodium|Depakote Cp|Tablet, Delayed Release|EQ 250mg BASE
depakote-cp-eq-500mg-base-tablet-delayed-release|Depakote Cp EQ 500mg BASE Tablet, Delayed Release|Divalproex Sodium|Depakote Cp|Tablet, Delayed Release|EQ 500mg BASE
depakote-eq-125mg-valproic-acid-capsule-delayed-rel-pellets|Depakote EQ 125mg VALPROIC ACID Capsule, Delayed Rel Pellets|Divalproex Sodium|Depakote|Capsule, Delayed Rel Pellets|EQ 125mg VALPROIC ACID
depakote-eq-125mg-valproic-acid-tablet-delayed-release|Depakote EQ 125mg VALPROIC ACID Tablet, Delayed Release|Divalproex Sodium|Depakote|Tablet, Delayed Release|EQ 125mg VALPROIC ACID
depakote-eq-250mg-valproic-acid-tablet-delayed-release|Depakote EQ 250mg VALPROIC ACID Tablet, Delayed Release|Divalproex Sodium|Depakote|Tablet, Delayed Release|EQ 250mg VALPROIC ACID
depakote-eq-500mg-valproic-acid-tablet-delayed-release|Depakote EQ 500mg VALPROIC ACID Tablet, Delayed Release|Divalproex Sodium|Depakote|Tablet, Delayed Release|EQ 500mg VALPROIC ACID
depakote-er-250mg-tablet-extended-release|Depakote Er 250mg Tablet, Extended Release|Divalproex Sodium|Depakote Er|Tablet, Extended Release|250mg
depakote-er-500mg-tablet-extended-release|Depakote Er 500mg Tablet, Extended Release|Divalproex Sodium|Depakote Er|Tablet, Extended Release|500mg
depakote-er-eq-250mg-valproic-acid-tablet-extended-release|Depakote Er EQ 250mg VALPROIC ACID Tablet, Extended Release|Divalproex Sodium|Depakote Er|Tablet, Extended Release|EQ 250mg VALPROIC ACID
depakote-er-eq-500mg-valproic-acid-tablet-extended-release|Depakote Er EQ 500mg VALPROIC ACID Tablet, Extended Release|Divalproex Sodium|Depakote Er|Tablet, Extended Release|EQ 500mg VALPROIC ACID
depen-250mg-tablet|Depen 250mg Tablet|Penicillamine|Depen|Tablet|250mg
depinar-0-5mg-ml-2-3mg-ml-1mg-ml-injectable|Depinar 0.5mg/mL / 2.3mg/mL / 1mg/mL Injectable|Cyanocobalamin / Tannic Acid / Zinc Acetate|Depinar|Injectable|0.5mg/mL / 2.3mg/mL / 1mg/mL
depo-estradiol-1mg-ml-injectable|Depo-Estradiol 1mg/mL Injectable|Estradiol Cypionate|Depo-Estradiol|Injectable|1mg/mL
depo-estradiol-3mg-ml-injectable|Depo-Estradiol 3mg/mL Injectable|Estradiol Cypionate|Depo-Estradiol|Injectable|3mg/mL
depo-estradiol-5mg-ml-injectable|Depo-Estradiol 5mg/mL Injectable|Estradiol Cypionate|Depo-Estradiol|Injectable|5mg/mL
depo-medrol-20mg-ml-injectable|Depo-Medrol 20mg/mL Injectable|Methylprednisolone Acetate|Depo-Medrol|Injectable|20mg/mL
depo-medrol-40mg-ml-injectable|Depo-Medrol 40mg/mL Injectable|Methylprednisolone Acetate|Depo-Medrol|Injectable|40mg/mL
depo-medrol-80mg-ml-injectable|Depo-Medrol 80mg/mL Injectable|Methylprednisolone Acetate|Depo-Medrol|Injectable|80mg/mL
depo-provera-100mg-ml-federal-register-determination-that-product-was-not-discon|Depo-Provera 100mg/mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Injectable|Medroxyprogesterone Acetate|Depo-Provera|Injectable|100mg/mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
depo-provera-150mg-ml-injectable|Depo-Provera 150mg/mL Injectable|Medroxyprogesterone Acetate|Depo-Provera|Injectable|150mg/mL
depo-provera-400mg-ml-injectable|Depo-Provera 400mg/mL Injectable|Medroxyprogesterone Acetate|Depo-Provera|Injectable|400mg/mL
depo-subq-provera-104-104mg-0-65ml-injectable|Depo-Subq Provera 104 104mg/0.65mL Injectable|Medroxyprogesterone Acetate|Depo-Subq Provera 104|Injectable|104mg/0.65mL
depo-testadiol-2mg-ml-50mg-ml-injectable|Depo-Testadiol 2mg/mL / 50mg/mL Injectable|Estradiol Cypionate / Testosterone Cypionate|Depo-Testadiol|Injectable|2mg/mL / 50mg/mL
depo-testosterone-100mg-ml-injectable|Depo-Testosterone 100mg/mL Injectable|Testosterone Cypionate|Depo-Testosterone|Injectable|100mg/mL
depo-testosterone-200mg-ml-injectable|Depo-Testosterone 200mg/mL Injectable|Testosterone Cypionate|Depo-Testosterone|Injectable|200mg/mL
depo-testosterone-50mg-ml-injectable|Depo-Testosterone 50mg/mL Injectable|Testosterone Cypionate|Depo-Testosterone|Injectable|50mg/mL
depocyt-10mg-ml-injectable-liposomal|Depocyt 10mg/mL Injectable, Liposomal|Cytarabine|Depocyt|Injectable, Liposomal|10mg/mL
depodur-10mg-ml-10mg-ml-injectable-liposomal|Depodur 10mg/mL (10mg/mL) Injectable, Liposomal|Morphine Sulfate|Depodur|Injectable, Liposomal|10mg/mL (10mg/mL)
depodur-15mg-1-5ml-10mg-ml-injectable-liposomal|Depodur 15mg/1.5mL (10mg/mL) Injectable, Liposomal|Morphine Sulfate|Depodur|Injectable, Liposomal|15mg/1.5mL (10mg/mL)
depodur-20mg-2ml-10mg-ml-injectable-liposomal|Depodur 20mg/2mL (10mg/mL) Injectable, Liposomal|Morphine Sulfate|Depodur|Injectable, Liposomal|20mg/2mL (10mg/mL)
derma-smoothe-fs-0-01-oil|Derma-Smoothe/Fs 0.01% Oil|Fluocinolone Acetonide|Derma-Smoothe/Fs|Oil|0.01%
dermabet-eq-0-1-base-cream|Dermabet EQ 0.1% BASE Cream|Betamethasone Valerate|Dermabet|Cream|EQ 0.1% BASE
dermacort-0-5-lotion|Dermacort 0.5% Lotion|Hydrocortisone|Dermacort|Lotion|0.5%
dermacort-1-cream|Dermacort 1% Cream|Hydrocortisone|Dermacort|Cream|1%
dermacort-1-lotion|Dermacort 1% Lotion|Hydrocortisone|Dermacort|Lotion|1%
dermatop-0-1-federal-register-determination-that-product-was-not-discontinued-or|Dermatop 0.1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Ointment|Prednicarbate|Dermatop|Ointment|0.1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
dermatop-e-emollient-0-1-federal-register-determination-that-product-was-not-dis|Dermatop E Emollient 0.1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Cream|Prednicarbate|Dermatop E Emollient|Cream|0.1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
dermotic-0-01-oil-drops|Dermotic 0.01% Oil/Drops|Fluocinolone Acetonide|Dermotic|Oil/Drops|0.01%
descovy-120mg-eq-15mg-base-tablet|Descovy 120mg / EQ 15mg BASE Tablet|Emtricitabine / Tenofovir Alafenamide Fumarate|Descovy|Tablet|120mg / EQ 15mg BASE
descovy-200mg-eq-25mg-base-tablet|Descovy 200mg / EQ 25mg BASE Tablet|Emtricitabine / Tenofovir Alafenamide Fumarate|Descovy|Tablet|200mg / EQ 25mg BASE
desferal-2gm-vial-federal-register-determination-that-product-was-not-discontinu|Desferal 2GM/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Injectable|Deferoxamine Mesylate|Desferal|Injectable|2GM/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
desferal-500mg-vial-injectable|Desferal 500mg/VIAL Injectable|Deferoxamine Mesylate|Desferal|Injectable|500mg/VIAL
desflurane-100-liquid|Desflurane 100% Liquid|Desflurane||Liquid|100%
desipramine-hydrochloride-100mg-tablet|Desipramine Hydrochloride 100mg Tablet|Desipramine Hydrochloride||Tablet|100mg
desipramine-hydrochloride-10mg-tablet|Desipramine Hydrochloride 10mg Tablet|Desipramine Hydrochloride||Tablet|10mg
desipramine-hydrochloride-150mg-tablet|Desipramine Hydrochloride 150mg Tablet|Desipramine Hydrochloride||Tablet|150mg
desipramine-hydrochloride-25mg-tablet|Desipramine Hydrochloride 25mg Tablet|Desipramine Hydrochloride||Tablet|25mg
desipramine-hydrochloride-50mg-tablet|Desipramine Hydrochloride 50mg Tablet|Desipramine Hydrochloride||Tablet|50mg
desipramine-hydrochloride-75mg-tablet|Desipramine Hydrochloride 75mg Tablet|Desipramine Hydrochloride||Tablet|75mg
desloratadine-0-5mg-ml-solution|Desloratadine 0.5mg/mL Solution|Desloratadine||Solution|0.5mg/mL
desloratadine-2-5mg-tablet-orally-disintegrating|Desloratadine 2.5mg Tablet, Orally Disintegrating|Desloratadine||Tablet, Orally Disintegrating|2.5mg
desloratadine-5mg-tablet|Desloratadine 5mg Tablet|Desloratadine||Tablet|5mg
desloratadine-5mg-tablet-orally-disintegrating|Desloratadine 5mg Tablet, Orally Disintegrating|Desloratadine||Tablet, Orally Disintegrating|5mg
desloratadine-and-pseudoephedrine-sulfate-24-hour-5mg-240mg-tablet-extended-rele|Desloratadine and Pseudoephedrine Sulfate 24 Hour 5mg / 240mg Tablet, Extended Release|Desloratadine / Pseudoephedrine Sulfate|Desloratadine and Pseudoephedrine Sulfate 24 Hour|Tablet, Extended Release|5mg / 240mg
desmoda-0-05mg-ml-solution|Desmoda 0.05mg/mL Solution|Desmopressin Acetate|Desmoda|Solution|0.05mg/mL
desmopressin-acetate-needs-no-refrigeration-0-01mg-spray-spray-metered|Desmopressin Acetate (needs No Refrigeration) 0.01mg/SPRAY Spray, Metered|Desmopressin Acetate|Desmopressin Acetate (needs No Refrigeration)|Spray, Metered|0.01mg/SPRAY
desmopressin-acetate-0-004mg-ml-injectable|Desmopressin Acetate 0.004mg/mL Injectable|Desmopressin Acetate||Injectable|0.004mg/mL
desmopressin-acetate-0-01-solution|Desmopressin Acetate 0.01% Solution|Desmopressin Acetate||Solution|0.01%
desmopressin-acetate-0-01mg-spray-spray-metered|Desmopressin Acetate 0.01mg/SPRAY Spray, Metered|Desmopressin Acetate||Spray, Metered|0.01mg/SPRAY
desmopressin-acetate-0-1mg-tablet|Desmopressin Acetate 0.1mg Tablet|Desmopressin Acetate||Tablet|0.1mg
desmopressin-acetate-0-2mg-tablet|Desmopressin Acetate 0.2mg Tablet|Desmopressin Acetate||Tablet|0.2mg
desmopressin-acetate-preservative-free-0-004mg-ml-injectable|Desmopressin Acetate Preservative Free 0.004mg/mL Injectable|Desmopressin Acetate|Desmopressin Acetate Preservative Free|Injectable|0.004mg/mL
desogen-0-15mg-0-03mg-tablet|Desogen 0.15mg / 0.03mg Tablet|Desogestrel / Ethinyl Estradiol|Desogen|Tablet|0.15mg / 0.03mg
desogestrel-and-ethinyl-estradiol-0-15mg-0-03mg-tablet|Desogestrel and Ethinyl Estradiol 0.15mg / 0.03mg Tablet|Desogestrel / Ethinyl Estradiol|Desogestrel and Ethinyl Estradiol|Tablet|0.15mg / 0.03mg
desogestrel-and-ethinyl-estradiol-0-15mg-n-a-0-02mg-0-01mg-tablet|Desogestrel and Ethinyl Estradiol 0.15mg,N/A / 0.02mg,0.01mg Tablet|Desogestrel / Ethinyl Estradiol|Desogestrel and Ethinyl Estradiol|Tablet|0.15mg,N/A / 0.02mg,0.01mg
desogestrel-and-ethinyl-estradiol-0-1mg-0-125mg-0-15mg-0-025mg-0-025mg-0-025mg-t|Desogestrel and Ethinyl Estradiol 0.1mg,0.125mg,0.15mg / 0.025mg,0.025mg,0.025mg Tablet|Desogestrel / Ethinyl Estradiol|Desogestrel and Ethinyl Estradiol|Tablet|0.1mg,0.125mg,0.15mg / 0.025mg,0.025mg,0.025mg
desogestrel-ethinyl-0-125mg-0-025mg-tablet|Desogestrel; Ethinyl 0.125mg/0.025mg Tablet|Desogestrel / Ethinyl Estradiol|Desogestrel; Ethinyl|Tablet|0.125mg/0.025mg
desogestrel-ethinyl-0-15mg-0-025mg-tablet|Desogestrel; Ethinyl 0.15mg/0.025mg Tablet|Desogestrel / Ethinyl Estradiol|Desogestrel; Ethinyl|Tablet|0.15mg/0.025mg
desogestrel-ethinyl-estradiol-0-125mg-0-025mg-tablet|Desogestrel; Ethinyl Estradiol 0.125mg/0.025mg Tablet|Desogestrel / Ethinyl Estradiol|Desogestrel; Ethinyl Estradiol|Tablet|0.125mg/0.025mg
desogestrel-ethinyl-estradiol-0-15mg-0-025mg-tablet|Desogestrel; Ethinyl Estradiol 0.15mg/0.025mg Tablet|Desogestrel / Ethinyl Estradiol|Desogestrel; Ethinyl Estradiol|Tablet|0.15mg/0.025mg
desonate-0-05-federal-register-determination-that-product-was-not-discontinued-o|Desonate 0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Gel|Desonide|Desonate|Gel|0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
desonide-0-05-federal-register-determination-that-product-was-not-discontinued-o|Desonide 0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Cream|Desonide||Cream|0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
desonide-0-05-cream|Desonide 0.05% Cream|Desonide||Cream|0.05%
desonide-0-05-gel|Desonide 0.05% Gel|Desonide||Gel|0.05%
desonide-0-05-lotion|Desonide 0.05% Lotion|Desonide||Lotion|0.05%
desonide-0-05-ointment|Desonide 0.05% Ointment|Desonide||Ointment|0.05%
desowen-0-05-cream|Desowen 0.05% Cream|Desonide|Desowen|Cream|0.05%
desowen-0-05-lotion|Desowen 0.05% Lotion|Desonide|Desowen|Lotion|0.05%
desowen-0-05-ointment|Desowen 0.05% Ointment|Desonide|Desowen|Ointment|0.05%
desoximetasone-0-05-cream|Desoximetasone 0.05% Cream|Desoximetasone||Cream|0.05%
desoximetasone-0-05-gel|Desoximetasone 0.05% Gel|Desoximetasone||Gel|0.05%
desoximetasone-0-05-ointment|Desoximetasone 0.05% Ointment|Desoximetasone||Ointment|0.05%
desoximetasone-0-25-cream|Desoximetasone 0.25% Cream|Desoximetasone||Cream|0.25%
desoximetasone-0-25-ointment|Desoximetasone 0.25% Ointment|Desoximetasone||Ointment|0.25%
desoximetasone-0-25-spray|Desoximetasone 0.25% Spray|Desoximetasone||Spray|0.25%
desoxyn-10mg-tablet-extended-release|Desoxyn 10mg Tablet, Extended Release|Methamphetamine Hydrochloride|Desoxyn|Tablet, Extended Release|10mg
desoxyn-15mg-tablet-extended-release|Desoxyn 15mg Tablet, Extended Release|Methamphetamine Hydrochloride|Desoxyn|Tablet, Extended Release|15mg
desoxyn-5mg-tablet|Desoxyn 5mg Tablet|Methamphetamine Hydrochloride|Desoxyn|Tablet|5mg
desoxyn-5mg-tablet-extended-release|Desoxyn 5mg Tablet, Extended Release|Methamphetamine Hydrochloride|Desoxyn|Tablet, Extended Release|5mg
desvenlafaxine-100mg-tablet-extended-release|Desvenlafaxine 100mg Tablet, Extended Release|Desvenlafaxine||Tablet, Extended Release|100mg
desvenlafaxine-50mg-tablet-extended-release|Desvenlafaxine 50mg Tablet, Extended Release|Desvenlafaxine||Tablet, Extended Release|50mg
desvenlafaxine-eq-100mg-base-tablet-extended-release|Desvenlafaxine EQ 100mg BASE Tablet, Extended Release|Desvenlafaxine Fumarate|Desvenlafaxine|Tablet, Extended Release|EQ 100mg BASE
desvenlafaxine-eq-50mg-base-tablet-extended-release|Desvenlafaxine EQ 50mg BASE Tablet, Extended Release|Desvenlafaxine Fumarate|Desvenlafaxine|Tablet, Extended Release|EQ 50mg BASE
desvenlafaxine-succinate-eq-100mg-base-tablet-extended-release|Desvenlafaxine Succinate EQ 100mg BASE Tablet, Extended Release|Desvenlafaxine Succinate||Tablet, Extended Release|EQ 100mg BASE
desvenlafaxine-succinate-eq-25mg-base-tablet-extended-release|Desvenlafaxine Succinate EQ 25mg BASE Tablet, Extended Release|Desvenlafaxine Succinate||Tablet, Extended Release|EQ 25mg BASE
desvenlafaxine-succinate-eq-50mg-base-tablet-extended-release|Desvenlafaxine Succinate EQ 50mg BASE Tablet, Extended Release|Desvenlafaxine Succinate||Tablet, Extended Release|EQ 50mg BASE
desyrel-100mg-federal-register-determination-that-product-was-not-discontinued-o|Desyrel 100mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Trazodone Hydrochloride|Desyrel|Tablet|100mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
desyrel-150mg-federal-register-determination-that-product-was-not-discontinued-o|Desyrel 150mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Trazodone Hydrochloride|Desyrel|Tablet|150mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
desyrel-300mg-federal-register-determination-that-product-was-not-discontinued-o|Desyrel 300mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Trazodone Hydrochloride|Desyrel|Tablet|300mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
desyrel-50mg-federal-register-determination-that-product-was-not-discontinued-or|Desyrel 50mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Tablet|Trazodone Hydrochloride|Desyrel|Tablet|50mg **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
detectnet-4ml-1mci-ml-solution|Detectnet 4mL (1mCi/mL) Solution|Copper Cu-64 Dotatate|Detectnet|Solution|4mL (1mCi/mL)
detrol-1mg-tablet|Detrol 1mg Tablet|Tolterodine Tartrate|Detrol|Tablet|1mg
detrol-2mg-tablet|Detrol 2mg Tablet|Tolterodine Tartrate|Detrol|Tablet|2mg
detrol-la-2mg-capsule-extended-release|Detrol La 2mg Capsule, Extended Release|Tolterodine Tartrate|Detrol La|Capsule, Extended Release|2mg
detrol-la-4mg-capsule-extended-release|Detrol La 4mg Capsule, Extended Release|Tolterodine Tartrate|Detrol La|Capsule, Extended Release|4mg
deutetrabenazine-12mg-tablet|Deutetrabenazine 12mg Tablet|Deutetrabenazine||Tablet|12mg
deutetrabenazine-6mg-tablet|Deutetrabenazine 6mg Tablet|Deutetrabenazine||Tablet|6mg
deutetrabenazine-9mg-tablet|Deutetrabenazine 9mg Tablet|Deutetrabenazine||Tablet|9mg
dexacen-4-eq-4mg-phosphate-ml-injectable|Dexacen-4 EQ 4mg PHOSPHATE/mL Injectable|Dexamethasone Sodium Phosphate|Dexacen-4|Injectable|EQ 4mg PHOSPHATE/mL
dexacidin-0-1-eq-3-5mg-base-gm-10-000-units-gm-ointment|Dexacidin 0.1% / EQ 3.5mg BASE/GM / 10,000 UNITS/GM Ointment|Dexamethasone / Neomycin Sulfate / Polymyxin B Sulfate|Dexacidin|Ointment|0.1% / EQ 3.5mg BASE/GM / 10,000 UNITS/GM
dexacidin-0-1-eq-3-5mg-base-ml-10-000-units-ml-suspension-drops|Dexacidin 0.1% / EQ 3.5mg BASE/mL / 10,000 UNITS/mL Suspension/Drops|Dexamethasone / Neomycin Sulfate / Polymyxin B Sulfate|Dexacidin|Suspension/Drops|0.1% / EQ 3.5mg BASE/mL / 10,000 UNITS/mL
dexacort-eq-0-1mg-phosphate-inh-aerosol|Dexacort EQ 0.1mg PHOSPHATE/INH Aerosol|Dexamethasone Sodium Phosphate|Dexacort|Aerosol|EQ 0.1mg PHOSPHATE/INH
dexacort-eq-0-1mg-phosphate-inh-aerosol-metered|Dexacort EQ 0.1mg PHOSPHATE/INH Aerosol, Metered|Dexamethasone Sodium Phosphate|Dexacort|Aerosol, Metered|EQ 0.1mg PHOSPHATE/INH
dexair-eq-0-05-phosphate-ointment|Dexair EQ 0.05% PHOSPHATE Ointment|Dexamethasone Sodium Phosphate|Dexair|Ointment|EQ 0.05% PHOSPHATE
dexair-eq-0-1-phosphate-solution-drops|Dexair EQ 0.1% PHOSPHATE Solution/Drops|Dexamethasone Sodium Phosphate|Dexair|Solution/Drops|EQ 0.1% PHOSPHATE
dexamethasone-0-1-suspension-drops|Dexamethasone 0.1% Suspension/Drops|Dexamethasone||Suspension/Drops|0.1%
dexamethasone-0-25mg-tablet|Dexamethasone 0.25mg Tablet|Dexamethasone||Tablet|0.25mg
dexamethasone-0-5mg-tablet|Dexamethasone 0.5mg Tablet|Dexamethasone||Tablet|0.5mg
dexamethasone-0-5mg-5ml-federal-register-determination-that-product-was-not-disc|Dexamethasone 0.5mg/5mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons** Elixir|Dexamethasone||Elixir|0.5mg/5mL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
dexamethasone-0-5mg-5ml-elixir|Dexamethasone 0.5mg/5mL Elixir|Dexamethasone||Elixir|0.5mg/5mL
dexamethasone-0-5mg-5ml-solution|Dexamethasone 0.5mg/5mL Solution|Dexamethasone||Solution|0.5mg/5mL
dexamethasone-0-75mg-tablet|Dexamethasone 0.75mg Tablet|Dexamethasone||Tablet|0.75mg
dexamethasone-1-5mg-tablet|Dexamethasone 1.5mg Tablet|Dexamethasone||Tablet|1.5mg
dexamethasone-1mg-tablet|Dexamethasone 1mg Tablet|Dexamethasone||Tablet|1mg
dexamethasone-2mg-tablet|Dexamethasone 2mg Tablet|Dexamethasone||Tablet|2mg
dexamethasone-4mg-tablet|Dexamethasone 4mg Tablet|Dexamethasone||Tablet|4mg
dexamethasone-6mg-tablet|Dexamethasone 6mg Tablet|Dexamethasone||Tablet|6mg
dexamethasone-acetate-eq-16mg-base-ml-injectable|Dexamethasone Acetate EQ 16mg BASE/mL Injectable|Dexamethasone Acetate||Injectable|EQ 16mg BASE/mL
dexamethasone-acetate-eq-8mg-base-ml-injectable|Dexamethasone Acetate EQ 8mg BASE/mL Injectable|Dexamethasone Acetate||Injectable|EQ 8mg BASE/mL
dexamethasone-eq-10mg-phosphate-ml-injectable|Dexamethasone EQ 10mg PHOSPHATE/mL Injectable|Dexamethasone Sodium Phosphate|Dexamethasone|Injectable|EQ 10mg PHOSPHATE/mL
dexamethasone-eq-4mg-phosphate-ml-injectable|Dexamethasone EQ 4mg PHOSPHATE/mL Injectable|Dexamethasone Sodium Phosphate|Dexamethasone|Injectable|EQ 4mg PHOSPHATE/mL
dexamethasone-intensol-1mg-ml-concentrate|Dexamethasone Intensol 1mg/mL Concentrate|Dexamethasone|Dexamethasone Intensol|Concentrate|1mg/mL
dexamethasone-sodium-phosphate-eq-0-1-phosphate-solution-drops|Dexamethasone Sodium Phosphate EQ 0.1% PHOSPHATE Solution/Drops|Dexamethasone Sodium Phosphate||Solution/Drops|EQ 0.1% PHOSPHATE
dexamethasone-sodium-phosphate-eq-10mg-phosphate-ml-injectable|Dexamethasone Sodium Phosphate EQ 10mg PHOSPHATE/mL Injectable|Dexamethasone Sodium Phosphate||Injectable|EQ 10mg PHOSPHATE/mL
dexamethasone-sodium-phosphate-eq-20mg-phosphate-ml-injectable|Dexamethasone Sodium Phosphate EQ 20mg PHOSPHATE/mL Injectable|Dexamethasone Sodium Phosphate||Injectable|EQ 20mg PHOSPHATE/mL
dexamethasone-sodium-phosphate-eq-24mg-phosphate-ml-injectable|Dexamethasone Sodium Phosphate EQ 24mg PHOSPHATE/mL Injectable|Dexamethasone Sodium Phosphate||Injectable|EQ 24mg PHOSPHATE/mL
